Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PolychaetaV0\Project Outputs for PolychaetaV0\Pick Place\Pick Place for PCBPolyESP.csv

========================================================================================================================
File Design Information:

Date:       28/07/25
Time:       02:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"VR1","LM2596S-5.0","TopLayer","TO170P1524X483-6N","99.4000","46.7360","0","SIMPLE SWITCHER® 4.5V to 40V, 3A Low Component Count Step-Down Regulator"
"U3","MAX485_MODULE_5V_LOGIC_TLL_TO_RS-485_CONVERTER","TopLayer","MODULE_MAX485_MODULE_5V_LOGIC_TLL_TO_RS-485_CONVERTER","49.1590","22.3520","0","5V MAX485 TTL To RS485 Converter Module Board for Arduino"
"U2","RFM95W-868S2","TopLayer","XCVR_RFM95W-868S2","10.6200","64.5500","270","General ISM < 1GHz LoRa™ Transceiver Module 868MHz Antenna Not Included Surface Mount"
"U1","TL1963A-33DCYR","TopLayer","DCY0004A_N","73.4060","46.6090","180","IC REG LINEAR 3.3V 1.5A SOT223-4"
"S2","TS09-63-25-WT-160-SMT-TR","TopLayer","SW_TS09-63-25-WT-160-SMT-TR","27.9400","41.4020","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"S1","TS09-63-25-WT-160-SMT-TR","TopLayer","SW_TS09-63-25-WT-160-SMT-TR","47.2440","41.4020","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"R18","27R","TopLayer","RESC1607X60N","23.6490","57.5310","180","RES 27 OHM 5% 1/10W 0603"
"R17","27R","TopLayer","RESC1607X60N","23.6490","55.7530","180","RES 27 OHM 5% 1/10W 0603"
"R16","27R","TopLayer","RESC1607X60N","33.5280","49.9110","270","RES 27 OHM 5% 1/10W 0603"
"R15","10K","TopLayer","RESC1607X60N","51.9970","71.5010","0","RES 10K OHM 5% 1/10W 0603"
"R14","10K","TopLayer","RESC1607X60N","51.9970","61.2140","0","RES 10K OHM 5% 1/10W 0603"
"R13","10K","TopLayer","RESC1607X60N","51.9970","63.5000","0","RES 10K OHM 5% 1/10W 0603"
"R12","1K","TopLayer","RESC1607X60N","76.4540","53.4400","270","Fixed Resistor, Thin Film, 0.1W, 1000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R11","1K","TopLayer","RESC1607X60N","91.9480","38.8350","90","Fixed Resistor, Thin Film, 0.1W, 1000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R10","1K","TopLayer","RESC1607X60N","91.9480","63.8540","90","Fixed Resistor, Thin Film, 0.1W, 1000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R9","1K","TopLayer","RESC1607X60N","62.9920","61.3410","270","Fixed Resistor, Thin Film, 0.1W, 1000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R8","1K","TopLayer","RESC1607X60N","58.6740","61.3410","270","Fixed Resistor, Thin Film, 0.1W, 1000ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"
"R7","0R","TopLayer","RESC1607X60N","51.9970","69.7230","0","RES 0 OHM JUMPER 1/10W 0603"
"R6","0R","TopLayer","RESC1607X60N","51.9970","68.0720","0","RES 0 OHM JUMPER 1/10W 0603"
"R5","0R","TopLayer","RESC1607X60N","51.9970","59.5630","0","RES 0 OHM JUMPER 1/10W 0603"
"R4","0R","TopLayer","RESC1607X60N","51.9970","57.9120","0","RES 0 OHM JUMPER 1/10W 0603"
"R3","27R","TopLayer","RESC1607X60N","51.9970","55.1180","0","RES 27 OHM 5% 1/10W 0603"
"R2","27R","TopLayer","RESC1607X60N","47.2440","48.3870","270","RES 27 OHM 5% 1/10W 0603"
"R1","10K","TopLayer","RESC1607X60N","28.0670","48.3600","90","RES 10K OHM 5% 1/10W 0603"
"D2","HSMG-C190","TopLayer","LEDC1608X90N","62.9920","66.4590","270","Green LED 0603 (1608 Metric)"
"D1","HSMG-C190","TopLayer","LEDC1608X90N","58.6740","66.4590","270","Green LED 0603 (1608 Metric)"
"L1","CDRH127/LDNP-470MC","TopLayer","IND_CDRH127/LDNP-470MC_SUM","101.3460","32.8930","0","Inductor Power Shielded Drum Core 47uH 20% 1KHz Ferrite 4.1A 0.078Ohm DCR T/R"
"J15","TSW-102-07-F-S","TopLayer","TSW-102-XX-YY-S","90.0430","17.2720","180","Connector"
"J14","104031-0811","TopLayer","MOLEX_104031-0811","78.4935","73.3165","180","Surface Mount Micro SD Card Connector, with Push In Termination"
"J13","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","56.0505","5.7570","180","Connector"
"J12","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","71.4097","5.7570","180","Connector"
"J11","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","86.7688","5.7570","180","Connector"
"J10","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","40.6913","5.7570","180","Connector"
"J9","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","25.3322","5.7570","180","Connector"
"J8","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","9.9730","5.7570","180","Connector"
"J7","B4B-XH-A_LF__SN_","TopLayer","B4BXHALFSN","102.1280","5.7570","180","Connector"
"J6","901-144-8RFX","TopLayer","9011448RFX","6.3500","42.0370","0","Connector"
"J5","TSW-106-07-F-S","TopLayer","TSW10607FS","5.0800","25.4000","270","Connector"
"J4","EJ503A","TopLayer","MPD_EJ503A","99.4890","69.3230","180","Power Barrel Connector Jack 2.10mm ID (0.083), 5.50mm OD (0.217) Through Hole, Right Angle"
"J3","TSW-105-07-F-S","TopLayer","TSW-105-XX-YY-S","59.1820","77.9780","0","Connector"
"J2","TSW-102-07-F-S","TopLayer","TSW-102-XX-YY-S","58.8010","54.8640","270","Connector"
"J1","TSW-102-07-F-S","TopLayer","TSW-102-XX-YY-S","62.9920","54.8640","90","Connector"
"IC1","ESP32-WROOM-32D__4MB_PS_","TopLayer","ESP32WROOM32D4MBPS","38.0270","63.8260","0","Integrated Circuit"
"D5","Red","TopLayer","LEDC1608X90N","76.3270","57.6580","270","Red LED 0603 (1608 Metric)"
"D4","Red","TopLayer","LEDC1608X90N","91.9480","35.0520","90","Red LED 0603 (1608 Metric)"
"D3","Red","TopLayer","LEDC1608X90N","91.9480","59.8170","90","Red LED 0603 (1608 Metric)"
"D2","AQ3045-01ETG","TopLayer","SOD882","94.3610","64.2060","90","TVS DIODE 5.3VWM 12VC SOD882"
"Di1","SS34-MS","TopLayer","DIOM5127X241N","88.0110","47.2440","270","Schottky Diode"
"C13","10uF, 10V","TopLayer","CAPC1608X90N","87.1220","72.6440","180","CAP CER 10UF 10V X5R 0603"
"C12","0.1uF, 10V","TopLayer","CAPC1608X90N","87.1220","74.4220","180","CAP CER 0.1UF 10V X7R 0603"
"C11","10uF, 10V","TopLayer","CAPC1608X90N","10.9220","52.7050","180","CAP CER 10UF 10V X5R 0603"
"C10","0.1uF, 10V","TopLayer","CAPC1608X90N","10.9220","54.3560","180","CAP CER 0.1UF 10V X7R 0603"
"C9","10uF, 10V","TopLayer","CAPC1608X90N","79.8830","48.1330","90","CAP CER 10UF 10V X5R 0603"
"C8","10uF, 10V","TopLayer","CAPC1608X90N","81.6610","48.1330","90","CAP CER 10UF 10V X5R 0603"
"C7","4.7uF, 16V","TopLayer","CAPC1608X90N","79.7560","43.5610","90","CAP CER 4,7UF 16V X5R 0603"
"C6","EEEFP1C331AP","TopLayer","CAP_EEEFP1C331AP","101.8540","18.1610","0","CAP ALUM 330UF 20% 16V SMD"
"C5","EEEFT1V331AP","TopLayer","CAP_EEEFT1V331AP","101.8540","58.9280","180","CAP ALUM 330UF 20% 35V SMD"
"C4","10uF, 10V","TopLayer","CAPC1608X90N","24.1300","71.8820","90","CAP CER 10UF 10V X5R 0603"
"C3","0.1uF, 50V","TopLayer","CAPC1608X90N","21.9710","71.8820","270","CAP CER 0.1UF 50V X7R 0603"
"C2","1uF, 35V","TopLayer","CAPC1608X90N","33.1470","41.3270","90","Ceramic Capacitor, Multilayer, Ceramic, 35V, 10% +Tol, 10% -Tol, X5R, +-15% TC, 1uF, Surface Mount, 0603 inch"
"C1","0.1uF, 50V","TopLayer","CAPC1608X90N","39.3700","41.3270","90","CAP CER 0.1UF 50V X7R 0603"
